id,lnval,v_out_b,ber_y2k,lnC_raw_zero,lnL,ost,pcwork,ums03,mkost_vh,branche1,branche2,branche3,branche4,branche5,branche6,branche7,branche8,branche9,branche10,branche11,branche12,branche13,branche14
50,4.3508997,0,0,7.4128118,4.088253,1,20,23362.139,.68000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,-999,1,0,-999,2.0286272,0,100,5564.1582,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,3.0944986,0,0,1.8933589,2.5072863,0,33,263.99472,.40000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,-999,0,0,2.9324284,3.8790314,0,100,7697.6978,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,3.6743326,0,0,3.741966,2.7998657,0,20,1504.0544,.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,-999,0,1,-999,6.0773649,0,60,-999,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,-999,0,0,3.5531049,2.2432089,0,100,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,3.772038,1,1,3.9097824,4.2338977,1,10,3410.3669,.30000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,-999,0,0,-999,2.3098135,0,2,-999,.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,4.5773563,0,0,10.756658,5.9200034,0,30,65111.184,.34999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
60,-999,0,0,-999,4.1352611,0,30,-999,.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
61,3.514848,0,0,7.6910591,5.6621008,0,5,12683.839,.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,-999,0,0,5.7545047,5.109036,0,50,46611.574,-999,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,4.6793385,0,1,6.7397909,5.7436042,0,100,36018.844,.30000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64,4.6533566,0,1,9.4947414,7.5133109,0,30,719395.31,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,5.2510247,0,1,8.3768463,5.9705148,0,80,247424.97,.44999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,4.772006,0,1,5.6275702,3.12853,0,90,11041.853,.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,3.6113317,0,0,4.2784429,5.1365895,0,30,3408.8889,.40000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,4.6905465,1,1,8.1144257,3.2555728,0,20,7518.7466,.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,3.7972722,0,1,6.7426381,5.5598755,1,20,11864.643,.25,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,4.7889476,0,1,-999,5.9828367,0,75,183125.52,.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,4.8259802,0,0,6.8657789,4.0037737,0,50,12263.62,.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72,4.6821861,0,1,3.9971032,3.0078309,0,10,3321.1663,.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,4.2633514,1,1,5.8947272,6.8474035,0,12,166395.95,.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
74,3.9296196,0,0,4.8942556,4.297442,0,80,6258.3965,.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,4.5443172,0,1,5.6010046,3.9877331,1,45,14423.479,.49000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,4.3145671,0,1,5.5019417,4.9841275,0,15,24670.979,.44999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
77,-999,0,1,5.9834762,4.0261326,0,80,41054.199,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,4.912662,0,1,7.0725827,5.4278665,1,35,63237.676,.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,-999,1,1,14.889034,10.729836,0,60,28949170,-999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80,-999,1,0,-999,2.9203022,1,5,-999,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,4.0405397,0,1,7.0584846,4.6246233,1,30,15680.333,.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,-999,1,1,-999,4.7155247,0,50,-999,.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
83,-999,0,0,5.3067212,6.4893885,0,45,1105202.6,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,4.2667136,1,1,6.6065202,5.1292286,1,18,6493.1304,.30000001,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,4.3201704,1,0,8.1750546,5.7589746,0,75,113063.08,.77999997,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,-999,1,1,-999,3.0232439,0,10,-999,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,4.8871508,0,1,9.0677137,5.9852452,0,40,192577.22,.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
88,4.540349,1,1,5.5963073,2.5772812,1,20,1074.6078,.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,3.9250245,0,0,5.1927724,4.0628223,1,50,7109.7207,.55000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,-999,1,1,-999,2.6779809,0,100,-999,.40000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
91,4.7520041,0,0,7.7870712,6.8095531,0,30,155518.31,.44999999,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,2.8558841,0,-999,2.5891473,3.1780758,1,100,860.69568,.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,3.8824778,1,0,4.3517137,4.4041367,0,5,4817.7036,.40000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0
94,4.5523839,0,0,7.7182622,6.754766,1,25,228709.91,.55000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,-999,0,1,0,1.1059537,0,70,141.81328,-999,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,4.1675773,0,0,7.2912698,5.4958234,0,35,60170.719,.51999998,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,-999,1,1,2.5340703,1.9160933,0,30,9584.4863,-999,0,0,0,0,0,0,0,1,0,0,0,0,0,0
98,-999,0,0,-999,5.7669191,0,3,-999,.69999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4.2621808,0,1,4.6906743,4.5087404,0,100,9179.1816,.60000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,6.0485926,1,1,8.9268074,5.5570326,0,30,245921.64,.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
101,-999,0,0,-999,7.443347,0,50,-999,.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
102,4.6767488,1,1,4.6711082,2.6501868,0,10,2851.2876,.30000001,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,-999,0,0,-999,8.2101831,0,50,-999,.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,4.6181254,0,1,9.5182962,7.6551924,0,17,101894.91,.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,-999,0,1,-999,5.3042717,0,10,-999,-999,0,0,1,0,0,0,0,0,0,0,0,0,0,0
106,5.1333714,0,0,8.3503418,3.8413,0,20,24718.93,.40000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,-999,1,1,3.2376065,3.3361549,0,60,-999,.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,-999,1,1,-999,3.5804839,0,100,24733.75,-999,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,-999,1,0,2.7114146,3.1389658,1,40,4440.5322,-999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
